lot_id,component_id,is_defective,defect_type
LOT_000,LOT_000_C0000,0,normal
LOT_000,LOT_000_C0001,0,normal
LOT_000,LOT_000_C0002,0,normal
LOT_000,LOT_000_C0003,0,normal
LOT_000,LOT_000_C0004,0,normal
LOT_000,LOT_000_C0005,0,normal
LOT_000,LOT_000_C0006,0,normal
LOT_000,LOT_000_C0007,0,normal
LOT_000,LOT_000_C0008,0,normal
LOT_000,LOT_000_C0009,0,normal
LOT_000,LOT_000_C0010,0,normal
LOT_000,LOT_000_C0011,0,normal
LOT_000,LOT_000_C0012,0,normal
LOT_000,LOT_000_C0013,0,normal
LOT_000,LOT_000_C0014,0,normal
LOT_000,LOT_000_C0015,0,normal
LOT_000,LOT_000_C0016,0,normal
LOT_000,LOT_000_C0017,1,latent
LOT_000,LOT_000_C0018,0,normal
LOT_000,LOT_000_C0019,0,normal
LOT_000,LOT_000_C0020,0,normal
LOT_000,LOT_000_C0021,0,normal
LOT_000,LOT_000_C0022,0,normal
LOT_000,LOT_000_C0023,1,latent
LOT_000,LOT_000_C0024,0,normal
LOT_000,LOT_000_C0025,0,normal
LOT_000,LOT_000_C0026,0,normal
LOT_000,LOT_000_C0027,0,normal
LOT_000,LOT_000_C0028,0,normal
LOT_000,LOT_000_C0029,0,normal
LOT_000,LOT_000_C0030,0,normal
LOT_000,LOT_000_C0031,0,normal
LOT_000,LOT_000_C0032,0,normal
LOT_000,LOT_000_C0033,0,normal
LOT_000,LOT_000_C0034,0,normal
LOT_000,LOT_000_C0035,0,normal
LOT_000,LOT_000_C0036,0,normal
LOT_000,LOT_000_C0037,0,normal
LOT_000,LOT_000_C0038,0,normal
LOT_000,LOT_000_C0039,0,normal
LOT_000,LOT_000_C0040,0,normal
LOT_000,LOT_000_C0041,1,latent
LOT_000,LOT_000_C0042,0,normal
LOT_000,LOT_000_C0043,0,normal
LOT_000,LOT_000_C0044,0,normal
LOT_000,LOT_000_C0045,0,normal
LOT_000,LOT_000_C0046,0,normal
LOT_000,LOT_000_C0047,0,normal
LOT_000,LOT_000_C0048,0,normal
LOT_000,LOT_000_C0049,0,normal
LOT_000,LOT_000_C0050,0,normal
LOT_000,LOT_000_C0051,0,normal
LOT_000,LOT_000_C0052,0,normal
LOT_000,LOT_000_C0053,0,normal
LOT_000,LOT_000_C0054,0,normal
LOT_000,LOT_000_C0055,1,latent
LOT_000,LOT_000_C0056,0,normal
LOT_000,LOT_000_C0057,0,normal
LOT_000,LOT_000_C0058,0,normal
LOT_000,LOT_000_C0059,0,normal
LOT_000,LOT_000_C0060,0,normal
LOT_000,LOT_000_C0061,0,normal
LOT_000,LOT_000_C0062,0,normal
LOT_000,LOT_000_C0063,0,normal
LOT_000,LOT_000_C0064,0,normal
LOT_000,LOT_000_C0065,0,normal
LOT_000,LOT_000_C0066,0,normal
LOT_000,LOT_000_C0067,0,normal
LOT_000,LOT_000_C0068,0,normal
LOT_000,LOT_000_C0069,0,normal
LOT_000,LOT_000_C0070,0,normal
LOT_000,LOT_000_C0071,0,normal
LOT_000,LOT_000_C0072,0,normal
LOT_000,LOT_000_C0073,0,normal
LOT_000,LOT_000_C0074,0,normal
LOT_000,LOT_000_C0075,0,normal
LOT_000,LOT_000_C0076,0,normal
LOT_000,LOT_000_C0077,0,normal
LOT_000,LOT_000_C0078,0,normal
LOT_000,LOT_000_C0079,0,normal
LOT_000,LOT_000_C0080,0,normal
LOT_000,LOT_000_C0081,1,latent
LOT_000,LOT_000_C0082,0,normal
LOT_000,LOT_000_C0083,0,normal
LOT_000,LOT_000_C0084,0,normal
LOT_000,LOT_000_C0085,0,normal
LOT_000,LOT_000_C0086,0,normal
LOT_000,LOT_000_C0087,0,normal
LOT_000,LOT_000_C0088,0,normal
LOT_000,LOT_000_C0089,0,normal
LOT_000,LOT_000_C0090,0,normal
LOT_000,LOT_000_C0091,0,normal
LOT_000,LOT_000_C0092,0,normal
LOT_000,LOT_000_C0093,0,normal
LOT_000,LOT_000_C0094,0,normal
LOT_000,LOT_000_C0095,0,normal
LOT_000,LOT_000_C0096,0,normal
LOT_000,LOT_000_C0097,0,normal
LOT_000,LOT_000_C0098,0,normal
LOT_000,LOT_000_C0099,0,normal
LOT_000,LOT_000_C0100,0,normal
LOT_000,LOT_000_C0101,0,normal
LOT_000,LOT_000_C0102,0,normal
LOT_000,LOT_000_C0103,0,normal
LOT_000,LOT_000_C0104,0,normal
LOT_000,LOT_000_C0105,0,normal
LOT_000,LOT_000_C0106,0,normal
LOT_000,LOT_000_C0107,0,normal
LOT_000,LOT_000_C0108,0,normal
LOT_000,LOT_000_C0109,0,normal
LOT_000,LOT_000_C0110,0,normal
LOT_000,LOT_000_C0111,0,normal
LOT_000,LOT_000_C0112,0,normal
LOT_000,LOT_000_C0113,0,normal
LOT_000,LOT_000_C0114,0,normal
LOT_000,LOT_000_C0115,0,normal
LOT_000,LOT_000_C0116,1,latent
LOT_000,LOT_000_C0117,0,normal
LOT_000,LOT_000_C0118,0,normal
LOT_000,LOT_000_C0119,0,normal
LOT_000,LOT_000_C0120,0,normal
LOT_000,LOT_000_C0121,0,normal
LOT_000,LOT_000_C0122,0,normal
LOT_000,LOT_000_C0123,0,normal
LOT_000,LOT_000_C0124,0,normal
LOT_000,LOT_000_C0125,0,normal
LOT_000,LOT_000_C0126,0,normal
