lot_id,component_id,param_name,value_0h,value_24h,value_96h,value_168h
LOT_000,LOT_000_C0000,leakage_current_uA,23.8982,24.4095,24.4308,25.2365
LOT_000,LOT_000_C0000,propagation_delay_ns,8.7712,8.8281,8.9626,8.9908
LOT_000,LOT_000_C0001,leakage_current_uA,12.3059,12.6561,13.1177,13.4036
LOT_000,LOT_000_C0001,propagation_delay_ns,11.0118,10.9998,11.2874,11.5693
LOT_000,LOT_000_C0002,leakage_current_uA,21.7011,21.75,22.4994,23.4592
LOT_000,LOT_000_C0002,propagation_delay_ns,8.2552,8.2499,8.5553,8.8474
LOT_000,LOT_000_C0003,leakage_current_uA,18.5988,18.8396,19.0785,19.9949
LOT_000,LOT_000_C0003,propagation_delay_ns,10.2948,10.3028,10.5759,10.8494
LOT_000,LOT_000_C0004,leakage_current_uA,21.2059,21.8619,22.2639,23.3812
LOT_000,LOT_000_C0004,propagation_delay_ns,10.1989,10.1512,10.3643,10.5356
LOT_000,LOT_000_C0005,leakage_current_uA,17.2183,17.5147,18.0585,18.8354
LOT_000,LOT_000_C0005,propagation_delay_ns,10.0092,9.9656,10.2641,10.4014
LOT_000,LOT_000_C0006,leakage_current_uA,19.2506,19.4334,19.4309,19.9312
LOT_000,LOT_000_C0006,propagation_delay_ns,11.2959,11.3333,11.555,11.6675
LOT_000,LOT_000_C0007,leakage_current_uA,14.2636,14.5503,14.9938,15.9319
LOT_000,LOT_000_C0007,propagation_delay_ns,11.3252,11.3387,11.5625,11.8166
LOT_000,LOT_000_C0008,leakage_current_uA,21.2389,20.9357,21.8574,23.1371
LOT_000,LOT_000_C0008,propagation_delay_ns,10.4706,10.5792,10.7487,10.9623
LOT_000,LOT_000_C0009,leakage_current_uA,16.6968,17.182,17.6762,17.913
LOT_000,LOT_000_C0009,propagation_delay_ns,9.9585,10.1065,10.0603,10.3393
LOT_000,LOT_000_C0010,leakage_current_uA,13.6702,13.701,13.7532,14.014
LOT_000,LOT_000_C0010,propagation_delay_ns,7.6315,7.5382,7.6363,7.8912
LOT_000,LOT_000_C0011,leakage_current_uA,14.6323,14.7068,15.2717,15.5356
LOT_000,LOT_000_C0011,propagation_delay_ns,10.9528,11.0602,11.0213,11.1876
LOT_000,LOT_000_C0012,leakage_current_uA,23.4159,23.1403,24.0614,24.238
LOT_000,LOT_000_C0012,propagation_delay_ns,10.4696,10.4874,10.712,10.9708
LOT_000,LOT_000_C0013,leakage_current_uA,14.4688,14.9743,14.4816,15.2024
LOT_000,LOT_000_C0013,propagation_delay_ns,8.6761,8.7064,8.8912,9.0929
LOT_000,LOT_000_C0014,leakage_current_uA,19.9384,20.0855,20.5004,21.0321
LOT_000,LOT_000_C0014,propagation_delay_ns,10.5265,10.5863,10.7852,11.0019
